match_id,date,team,opponent,player_id,player,position,started,minutes,goals,assists,yellow,red,rating,xg,xa,shots,sot,passes,passAcc,keyPasses,touches,tackles,interceptions,aerials,dribbles,fouls,clearances,dispossessed,saves
5868019,2026-08-15,Sevilla,Rayo Vallecano,335041,Jon Guridi,AMC,1,81,1,0,1,0,6.6,0.83,0.0,2,2,20,19,0,29,0,0,1,0,1,0,1,0
5868019,2026-08-15,Sevilla,Rayo Vallecano,511064,Oso,AML,1,77,0,0,0,0,6.2,0.05,0.01,2,0,17,8,0,31,2,0,3,0,1,1,0,0
5868019,2026-08-15,Sevilla,Rayo Vallecano,492362,Isaac Romero,FW,1,45,0,0,1,0,5.8,0.1,0.0,2,0,13,8,0,23,0,0,3,0,2,0,1,0
5868019,2026-08-15,Sevilla,Rayo Vallecano,337022,Chidera Ejuke,Sub,0,25,0,0,0,0,6.1,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
5868019,2026-08-15,Sevilla,Rayo Vallecano,469547,Manu Bueno,Sub,0,21,0,0,0,0,6.3,0.0,0.07,0,0,3,3,0,5,1,0,0,0,0,0,0,0
5868019,2026-08-15,Sevilla,Rayo Vallecano,381550,Ruben Vargas,Sub,0,33,0,0,0,0,6.2,0.03,0.0,1,0,6,2,0,10,1,0,0,0,0,1,0,0
5868019,2026-08-15,Sevilla,Rayo Vallecano,454790,Robbie Ure,Sub,0,57,0,0,0,0,6.6,0.05,0.03,1,0,6,6,1,16,1,0,0,0,0,0,1,0
5868019,2026-08-15,Sevilla,Rayo Vallecano,464952,Peque Fernandez,Sub,0,57,1,0,0,0,6.9,0.87,0.01,2,2,11,10,1,24,1,1,0,0,2,0,1,0
5868019,2026-08-15,Rayo Vallecano,Sevilla,303629,Augusto Batalla,GK,1,102,0,0,0,0,6.1,0.0,0.0,0,0,35,20,0,52,0,0,0,0,0,2,0,2
5868019,2026-08-15,Rayo Vallecano,Sevilla,372331,Andrei Ratiu,DR,1,102,0,0,0,0,6.2,0.03,0.0,1,0,26,16,1,58,0,1,0,3,0,3,1,0
5868019,2026-08-15,Rayo Vallecano,Sevilla,80758,Florian Lejeune,DC,1,102,0,0,0,0,7.0,0.05,0.0,2,1,49,35,0,74,4,2,6,0,1,11,0,0
5868019,2026-08-15,Rayo Vallecano,Sevilla,422963,Pathe Ciss,DC,1,102,0,0,1,0,6.4,0.0,0.0,0,0,52,46,0,66,0,2,4,0,0,4,1,0
5868019,2026-08-15,Rayo Vallecano,Sevilla,101613,Ivan Balliu,DL,1,102,0,0,0,0,6.0,0.0,0.0,0,0,27,18,0,53,1,0,2,0,1,2,0,0
5868019,2026-08-15,Rayo Vallecano,Sevilla,422958,Oscar Valentin,DMC,1,77,0,0,0,0,6.7,0.0,0.0,0,0,22,15,0,36,1,2,1,0,2,6,0,0
5868019,2026-08-15,Rayo Vallecano,Sevilla,236575,Unai Lopez,DMC,1,77,0,0,1,0,6.9,0.0,0.0,0,0,34,25,0,45,4,2,4,1,3,2,0,0
5868019,2026-08-15,Rayo Vallecano,Sevilla,386230,Jorge de Frutos,AMR,1,102,0,0,0,0,6.3,0.0,0.01,0,0,16,12,0,33,4,0,0,1,1,0,1,0
5868019,2026-08-15,Rayo Vallecano,Sevilla,422959,Isi Palazon,AMC,1,63,0,0,0,0,6.5,0.0,0.01,0,0,15,11,0,28,2,0,2,1,1,2,1,0
5868019,2026-08-15,Rayo Vallecano,Sevilla,135345,Alvaro Garcia,AML,1,69,1,0,1,0,6.8,0.86,0.13,1,1,13,8,1,29,3,1,0,0,2,0,0,0
5868019,2026-08-15,Rayo Vallecano,Sevilla,422960,Randy Nteka,FW,1,64,0,0,0,0,6.1,0.42,0.0,1,0,5,5,0,17,1,0,1,1,3,0,4,0
5868019,2026-08-15,Rayo Vallecano,Sevilla,436617,Alemao,Sub,0,38,0,0,0,0,6.0,0.34,0.0,1,1,5,5,0,10,1,0,0,0,2,0,1,0
5868019,2026-08-15,Rayo Vallecano,Sevilla,444265,Fran Perez,Sub,0,33,0,0,1,0,5.9,0.0,0.0,0,0,6,5,0,10,0,0,0,0,2,0,1,0
5868019,2026-08-15,Rayo Vallecano,Sevilla,448514,Pedro Diaz,Sub,0,25,0,0,0,0,6.3,0.0,0.05,0,0,9,9,2,13,0,1,0,0,0,0,0,0
5868019,2026-08-15,Rayo Vallecano,Sevilla,372469,Sergio Camello,Sub,0,39,0,0,0,0,5.9,0.0,0.0,0,0,11,8,0,19,0,0,0,0,0,0,0,0
5868019,2026-08-15,Rayo Vallecano,Sevilla,531953,Pelayo Fernandez,Sub,0,25,0,0,0,0,5.9,0.0,0.0,0,0,10,7,0,10,0,0,0,0,0,0,0,0
5868021,2026-08-22,Athletic Club,Sevilla,332823,Unai Simon,GK,1,96,0,0,0,0,4.8,0.0,0.0,0,0,48,29,0,54,0,0,0,0,0,1,0,2
5868021,2026-08-22,Athletic Club,Sevilla,422820,Jesus Areso,DR,1,57,0,0,0,0,5.3,0.08,0.07,1,0,22,19,2,41,1,1,1,1,2,0,1,0
5868021,2026-08-22,Athletic Club,Sevilla,279839,Yeray Alvarez,DC,1,96,0,0,0,0,7.2,0.09,0.0,2,0,54,46,2,78,0,0,4,4,1,8,0,0
5868021,2026-08-22,Athletic Club,Sevilla,402663,Aitor Paredes,DC,1,73,1,0,0,0,7.3,0.3,0.01,1,1,70,61,1,85,4,0,3,0,0,5,0,0
5868021,2026-08-22,Athletic Club,Sevilla,56057,Yuri Berchiche,DL,1,96,0,0,0,1,5.4,0.0,0.07,0,0,17,14,0,18,0,0,1,0,1,0,0,0
5868021,2026-08-22,Athletic Club,Sevilla,536242,Peio Canales,DMC,1,96,0,0,0,0,7.0,0.13,0.21,3,2,69,60,3,92,1,0,0,4,1,0,1,0
5868021,2026-08-22,Athletic Club,Sevilla,536243,Benat Gerenabarrena,DMC,1,82,0,0,0,0,6.2,0.04,0.0,1,1,41,33,0,60,4,4,1,0,5,0,0,0
5868021,2026-08-22,Athletic Club,Sevilla,255182,Inaki Williams,AMR,1,57,0,0,0,0,7.1,0.13,0.02,2,2,12,8,2,24,1,1,2,3,0,0,1,0
5868021,2026-08-22,Athletic Club,Sevilla,381510,Oihan Sancet,AMC,1,96,0,0,0,0,7.1,0.5,0.16,3,1,36,31,3,64,3,1,2,4,0,0,3,0
5868021,2026-08-22,Athletic Club,Sevilla,238899,Alex Berenguer,AML,1,96,0,0,0,0,6.7,0.12,0.06,2,1,49,42,1,85,1,0,2,1,1,1,2,0
5868021,2026-08-22,Athletic Club,Sevilla,362602,Gorka Guruzeta,FW,1,57,0,0,1,0,6.0,0.05,0.02,2,0,13,6,0,24,0,0,3,0,0,2,0,0
5868021,2026-08-22,Athletic Club,Sevilla,541704,Maroan Sannadi,Sub,0,39,0,0,0,0,6.2,0.0,0.0,0,0,6,4,0,10,0,0,1,0,0,0,0,0
5868021,2026-08-22,Athletic Club,Sevilla,106586,Inigo Ruiz de Galarreta,Sub,0,14,0,0,1,0,5.8,0.0,0.01,0,0,12,10,0,15,1,0,0,0,0,0,0,0
5868021,2026-08-22,Athletic Club,Sevilla,122117,Aymeric Laporte,Sub,0,39,0,0,0,0,7.0,0.0,0.08,0,0,41,36,0,50,3,1,2,0,0,1,0,0
5868021,2026-08-22,Athletic Club,Sevilla,408449,Nico Williams,Sub,0,39,0,0,0,0,6.5,0.05,0.2,1,0,18,12,0,33,2,0,0,2,0,0,1,0
5868021,2026-08-22,Athletic Club,Sevilla,481851,Hugo Rincon,Sub,0,23,0,0,0,0,6.1,0.0,0.0,0,0,11,11,0,19,0,0,0,0,0,1,0,0
5868021,2026-08-22,Sevilla,Athletic Club,110273,Odysseas Vlachodimos,GK,1,96,0,0,0,0,7.3,0.0,0.0,0,0,32,19,0,44,0,0,1,0,0,0,0,6
5868021,2026-08-22,Sevilla,Athletic Club,408735,Juan Iglesias,DR,1,96,0,0,0,0,7.2,0.06,0.0,1,1,13,7,0,41,6,0,0,2,0,5,0,0
5868021,2026-08-22,Sevilla,Athletic Club,486031,Arouna Sangante,DC,1,67,0,0,0,0,7.0,0.0,0.0,0,0,39,30,1,51,1,0,4,0,2,6,0,0
5868021,2026-08-22,Sevilla,Athletic Club,448284,Andres Castrin,DC,1,96,0,0,0,0,6.8,0.0,0.01,0,0,46,39,1,55,1,1,2,0,0,5,0,0
5868021,2026-08-22,Sevilla,Athletic Club,286080,Gabriel Suazo,DL,1,96,0,0,0,0,7.0,0.0,0.02,0,0,42,33,0,66,3,1,3,0,0,9,1,0
