pid,name,team,pos,photo,mp,starts,mins,g,a,yc,rc,pen,rating_best,xg,xa,npxg,bc_missed,bc_missed_xg,gk_shots_faced,gk_xgot_faced,gk_goals_conceded,prog_passes,prog_carries,shots,sot,passes,passAcc,keyPasses,touches,tackles,interceptions,aerials,dribbles,fouls,clearances,dispossessed,saves,ga,rating,pass_pct,xg_diff,xa_diff,xgi,npg,fwd_eff,gk_goals_prevented,xt_added_p90
239872,Nicolas Pepe,Villarreal,MR,https://images.fotmob.com/image_resources/playerimages/575735.png,5,5,419,2,0,1,0,0,7.9,0.76,1.02,0.76,0,0.0,0,0.0,0,76,8,14,7,215,187,9,340,6,1,1,15,0,1,9,0,2,7.28,87,1.24,-1.02,1.78,2,2.63,,0.1693
400237,Robert Navarro,Athletic Club,Sub,https://images.fotmob.com/image_resources/playerimages/1011117.png,4,3,243,2,0,1,0,0,8.1,1.33,0.28,1.33,1,0.43,0,0.0,0,27,3,5,3,83,71,5,145,7,6,0,3,1,0,0,0,2,7.12,86,0.67,-0.28,1.61,2,1.14,,-0.0108
97659,Gerard Moreno,Villarreal,Sub,https://images.fotmob.com/image_resources/playerimages/246438.png,5,3,284,2,0,0,0,1,7.4,1.72,0.86,0.92,1,0.31,0,0.0,0,44,3,6,3,132,111,9,184,2,0,3,9,3,2,3,0,2,7.02,84,0.28,-0.86,2.58,1,0.81,,0.2098
382631,Rodrigo Riquelme,Real Betis,AML,https://images.fotmob.com/image_resources/playerimages/1072200.png,6,4,307,2,0,0,0,0,8.0,0.76,0.32,0.76,0,0.0,0,0.0,0,31,2,7,4,116,95,6,189,7,6,1,7,2,3,3,0,2,6.9,82,1.24,-0.32,1.08,2,2.63,,0.0546
422918,Giuliano Simeone,Atletico Madrid,Sub,https://images.fotmob.com/image_resources/playerimages/1226147.png,6,4,414,2,0,0,0,0,8.1,0.73,0.09,0.73,0,0.0,0,0.0,0,34,0,8,2,172,131,4,261,19,5,11,1,3,3,3,0,2,6.82,76,1.27,-0.09,0.82,2,2.74,,0.0289
407080,Luka Sucic,Real Sociedad,AMC,https://images.fotmob.com/image_resources/playerimages/959597.png,6,5,483,2,0,1,0,0,8.7,0.83,0.47,0.83,1,0.27,0,0.0,0,34,4,13,5,211,188,5,270,8,1,3,5,3,1,3,0,2,6.82,89,1.17,-0.47,1.3,2,1.82,,0.1085
516341,Carlos Espi,Real Madrid,Sub,https://images.fotmob.com/image_resources/playerimages/1610744.png,4,0,49,2,0,0,0,0,7.2,1.15,0.07,1.15,0,0.0,0,0.0,0,1,1,4,3,5,4,1,19,0,1,0,2,0,0,1,0,2,6.6,80,0.85,-0.07,1.22,2,1.74,,0.629
551186,Pablo Garcia,Real Betis,Sub,https://images.fotmob.com/image_resources/playerimages/1662379.png,5,2,225,2,0,1,0,0,7.2,0.91,0.05,0.91,1,0.24,0,0.0,0,6,0,9,4,41,37,3,88,6,0,1,4,3,3,8,0,2,6.6,90,1.09,-0.05,0.96,2,1.74,,0.0097
511064,Oso,Sevilla,AML,https://images.fotmob.com/image_resources/playerimages/1575945.png,2,2,154,1,1,0,0,0,8.5,0.44,0.14,0.44,0,0.0,0,0.0,0,9,0,4,1,34,22,1,75,9,2,5,1,1,4,2,0,2,7.35,65,0.56,0.86,0.58,1,2.27,,0.1275
107252,Alejandro Grimaldo,Atlético Madrid,DL,https://images.fotmob.com/image_resources/playerimages/288406.png,5,5,468,1,1,0,0,1,8.3,1.42,0.28,0.62,1,0.42,0,0.0,0,65,1,8,4,241,202,3,388,18,3,4,9,3,9,2,0,2,7.24,84,-0.42,0.72,1.7,0,0.0,,0.1259
